id,success_loan,failed_loans,income,nomalized_success_loan,nomalized_failed_loans,nomalized_income,cluster,priority,score,final_priority
387.0,3.0,0.0,500000.0,0.1,0.0,0.0771812080536912,0,Low Priority,0.15769612862265356,Low Priority
388.0,3.0,0.0,250000.0,0.1,0.0,0.035234899328859,0,Low Priority,0.05855844637186888,Low Priority
389.0,5.0,0.0,200000.0,0.2,0.0,0.0268456375838926,0,Low Priority,0.18785177746006052,Low Priority
390.0,6.0,1.0,150000.0,0.25,0.1111111111111111,0.0184563758389261,1,Medium Priority,0.2565105216084752,Low Priority
392.0,1.0,0.0,200000.0,0.0,0.0,0.0268456375838926,0,Low Priority,-0.11038995761663645,Low Priority
393.0,1.0,0.0,3000000.0,0.0,0.0,0.4966442953020135,2,High Priority,0.9999520835921527,Low Priority
394.0,2.0,0.0,400000.0,0.05,0.0,0.0604026845637583,0,Low Priority,0.043480621953165405,Low Priority
396.0,6.0,1.0,410000.0,0.25,0.1111111111111111,0.0620805369127516,1,Medium Priority,0.3596137111492913,Low Priority
397.0,3.0,0.0,390000.0,0.1,0.0,0.0587248322147651,0,Low Priority,0.11407554843230847,Low Priority
398.0,1.0,1.0,400000.0,0.0,0.1111111111111111,0.0604026845637583,0,Low Priority,-0.01715396498661123,Low Priority
399.0,8.0,2.0,300000.0,0.35,0.2222222222222222,0.0436241610738255,1,Medium Priority,0.4790398453266922,Low Priority
400.0,3.0,1.0,300000.0,0.1,0.1111111111111111,0.0436241610738255,0,Low Priority,0.09231182965142357,Low Priority
401.0,2.0,0.0,200000.0,0.05,0.0,0.0268456375838926,0,Low Priority,-0.035829523847462214,Low Priority
405.0,6.0,6.0,250000.0,0.25,0.6666666666666666,0.035234899328859,1,Medium Priority,0.36579482865577706,Low Priority
406.0,1.0,0.0,200000.0,0.0,0.0,0.0268456375838926,0,Low Priority,-0.11038995761663645,Low Priority
407.0,2.0,0.0,250000.0,0.05,0.0,0.035234899328859,0,Low Priority,-0.01600198739730538,Low Priority
408.0,2.0,0.0,250000.0,0.05,0.0,0.035234899328859,0,Low Priority,-0.01600198739730538,Low Priority
409.0,2.0,0.0,400000.0,0.05,0.0,0.0604026845637583,0,Low Priority,0.043480621953165405,Low Priority
410.0,7.0,1.0,410000.0,0.3,0.1111111111111111,0.0620805369127516,1,Medium Priority,0.4341741449184655,Low Priority
411.0,10.0,3.0,300000.0,0.45,0.3333333333333333,0.0436241610738255,1,Medium Priority,0.6420865596944384,Low Priority
412.0,2.0,0.0,300000.0,0.05,0.0,0.0436241610738255,0,Low Priority,0.0038255490528517344,Low Priority
413.0,2.0,0.0,300000.0,0.05,0.0,0.0436241610738255,0,Low Priority,0.0038255490528517344,Low Priority
414.0,2.0,0.0,250000.0,0.05,0.0,0.035234899328859,0,Low Priority,-0.01600198739730538,Low Priority
415.0,3.0,1.0,250000.0,0.1,0.1111111111111111,0.035234899328859,0,Low Priority,0.07248429320126645,Low Priority
416.0,2.0,0.0,200000.0,0.05,0.0,0.0268456375838926,0,Low Priority,-0.035829523847462214,Low Priority
417.0,1.0,1.0,300000.0,0.0,0.1111111111111111,0.0436241610738255,0,Low Priority,-0.056809037886924915,Low Priority
418.0,18.0,1.0,350000.0,0.85,0.1111111111111111,0.0520134228187919,1,Medium Priority,1.2305458726391938,Medium Priority
419.0,7.0,0.0,250000.0,0.3,0.0,0.035234899328859,1,Medium Priority,0.35680018144856573,Low Priority
420.0,1.0,0.0,400000.0,0.0,0.0,0.0604026845637583,0,Low Priority,-0.03107981181600883,Low Priority
421.0,3.0,1.0,200000.0,0.1,0.1111111111111111,0.0268456375838926,0,Low Priority,0.05265675675110962,Low Priority
422.0,1.0,0.0,200000.0,0.0,0.0,0.0268456375838926,0,Low Priority,-0.11038995761663645,Low Priority
423.0,7.0,0.0,500000.0,0.3,0.0,0.0771812080536912,1,Medium Priority,0.4559378636993505,Low Priority
